User_ID,Device_ID,Login_Count,Session_Duration_Min,Activation_Count,Device_Change_Count,Location_Changes,Debug_Attempt_Flag,Subscription_Status,IP_Address,Piracy_Label
U100061,D8629,19,296,5,2,0,0,Active,192.168.159.79,0
U100062,D2016,7,85,9,0,2,0,Active,192.168.213.59,0
U100063,D8869,19,224,1,3,7,1,Expired,192.168.225.231,1
U100064,D7439,24,89,4,1,5,0,Active,192.168.11.17,0
U100065,D8892,15,87,7,2,0,0,Active,192.168.232.106,0
U100066,D7863,41,71,2,0,3,0,Active,192.168.129.167,0
U100067,D8916,42,238,9,2,6,0,Active,192.168.245.50,0
U100068,D9529,23,202,3,1,7,0,Expired,192.168.197.51,1
U100069,D1878,4,263,4,3,3,0,Expired,192.168.158.241,1
U100070,D5887,38,181,4,3,2,0,Active,192.168.152.247,1
U100071,D5859,4,284,8,4,7,0,Active,192.168.56.156,1
U100072,D7331,5,133,2,3,5,0,Expired,192.168.44.26,1
U100073,D9571,41,184,5,4,2,0,Active,192.168.195.29,1
U100074,D9684,44,296,2,3,2,1,Expired,192.168.78.183,1
U100075,D8208,23,211,6,0,4,0,Active,192.168.225.125,0
U100076,D6276,40,298,9,1,7,0,Active,192.168.96.80,0
U100077,D3062,37,179,9,2,5,1,Active,192.168.39.103,1
U100078,D1064,11,33,1,1,1,0,Active,192.168.4.58,0
U100079,D9006,11,183,4,1,2,0,Active,192.168.243.98,0
U100080,D3568,13,45,4,4,3,0,Active,192.168.188.150,1
U100081,D6463,14,196,1,4,6,0,Active,192.168.36.74,1
U100082,D3027,8,241,2,0,5,1,Active,192.168.120.31,1
U100083,D3695,25,229,6,2,5,0,Active,192.168.249.14,0
U100084,D6258,18,118,3,3,5,0,Active,192.168.33.53,1
U100085,D6618,44,282,9,3,6,0,Active,192.168.82.101,1
U100086,D7736,44,21,3,1,3,0,Active,192.168.20.37,0
U100087,D1391,18,90,3,0,7,0,Active,192.168.151.96,0
U100088,D6892,10,185,9,2,2,0,Active,192.168.63.94,0
U100089,D4561,7,149,3,3,5,0,Active,192.168.228.102,1
U100090,D7184,44,229,6,1,7,0,Active,192.168.16.46,0
U100091,D4099,14,58,6,0,5,0,Active,192.168.227.159,0
U100092,D7278,15,72,1,2,6,0,Expired,192.168.49.178,1
U100093,D9392,16,111,7,1,7,0,Active,192.168.42.17,0
U100094,D4104,2,81,9,1,7,0,Active,192.168.77.198,0
U100095,D8215,30,31,9,0,2,0,Active,192.168.221.147,0
U100096,D3454,30,159,9,0,6,0,Active,192.168.177.190,0
U100097,D9996,18,76,2,0,3,0,Expired,192.168.154.40,1
U100098,D3731,31,184,1,0,4,0,Active,192.168.36.95,0
U100099,D9154,44,51,6,2,5,0,Active,192.168.143.77,0
U100100,D6056,48,246,6,0,0,0,Active,192.168.206.26,0
U100101,D9110,13,281,4,0,3,0,Expired,192.168.186.221,1
U100102,D4840,20,109,8,0,0,0,Active,192.168.192.161,0
U100103,D2028,49,99,5,2,2,0,Expired,192.168.33.60,1
U100104,D8385,35,223,7,3,1,0,Expired,192.168.123.179,1
U100105,D1502,23,174,9,1,2,0,Active,192.168.97.64,0
U100106,D7910,42,287,1,4,6,0,Active,192.168.239.226,1
U100107,D7938,33,132,9,1,2,0,Active,192.168.148.125,0
U100108,D5488,38,204,4,2,2,0,Active,192.168.134.193,0
U100109,D1206,35,39,7,0,5,0,Active,192.168.64.192,0
U100110,D6134,36,148,4,2,3,0,Active,192.168.145.224,0
U100111,D6977,20,296,4,3,3,0,Active,192.168.222.189,1
U100112,D8721,3,70,4,4,1,0,Active,192.168.127.253,1
U100113,D8035,8,223,6,3,6,0,Active,192.168.209.16,1
U100114,D2484,40,60,5,0,0,0,Expired,192.168.64.189,1
U100115,D8858,32,149,2,2,7,0,Active,192.168.235.75,0
U100116,D1863,29,217,9,2,6,0,Active,192.168.125.192,0
U100117,D3790,7,98,6,0,0,0,Active,192.168.29.233,0
U100118,D8408,2,110,6,0,0,0,Active,192.168.125.92,0
U100119,D9755,21,88,9,4,2,0,Active,192.168.89.215,1
U100120,D6116,6,140,1,3,1,1,Active,192.168.137.75,1
U100121,D7019,28,150,7,0,2,0,Active,192.168.118.109,0
U100122,D2757,48,253,3,0,1,0,Active,192.168.235.70,0
U100123,D8574,42,22,4,3,4,0,Expired,192.168.28.22,1
U100124,D7374,36,129,1,0,3,0,Active,192.168.141.134,0
U100125,D7892,32,6,3,4,5,0,Expired,192.168.43.63,1
U100126,D2678,45,204,7,4,5,0,Active,192.168.177.250,1
U100127,D4242,42,142,6,3,5,0,Active,192.168.118.125,1
U100128,D5636,46,207,1,1,7,0,Active,192.168.60.20,0
U100129,D2059,9,286,9,4,2,0,Active,192.168.202.194,1
U100130,D7668,11,34,4,2,4,0,Active,192.168.107.89,0
U100131,D4157,23,60,7,2,0,0,Active,192.168.142.247,0
U100132,D6915,11,123,4,1,5,0,Active,192.168.165.133,0
U100133,D3693,49,136,7,4,4,0,Active,192.168.14.218,1
U100134,D4627,2,235,5,0,5,0,Active,192.168.10.239,0
U100135,D6450,3,156,1,1,3,0,Active,192.168.178.33,0
U100136,D2663,11,25,4,0,5,0,Active,192.168.100.125,0
U100137,D6592,35,72,3,2,3,0,Active,192.168.163.169,0
U100138,D8392,15,130,6,1,5,0,Active,192.168.101.247,0
U100139,D2306,43,47,6,4,5,0,Active,192.168.74.163,1
U100140,D7776,11,186,1,2,3,0,Active,192.168.246.57,0
U100141,D6864,31,104,2,4,6,0,Expired,192.168.63.201,1
U100142,D8526,28,244,2,0,7,0,Expired,192.168.74.233,1
U100143,D9901,28,204,4,4,5,0,Active,192.168.160.237,1
U100144,D6575,32,120,9,1,4,0,Active,192.168.32.91,0
U100145,D6530,25,119,2,0,6,0,Active,192.168.145.139,0
U100146,D5413,20,146,8,1,0,0,Expired,192.168.61.47,1
U100147,D4748,28,123,1,0,2,0,Active,192.168.93.61,0
U100148,D1663,25,97,8,1,5,0,Active,192.168.79.184,0
U100149,D2998,11,13,3,2,6,0,Active,192.168.23.193,0
U100150,D8994,19,77,5,1,0,0,Active,192.168.74.6,0
U100151,D2495,28,30,1,2,7,0,Active,192.168.75.26,0
U100152,D4304,1,243,1,3,6,0,Expired,192.168.82.193,1
U100153,D4763,5,149,6,4,6,0,Expired,192.168.244.226,1
U100154,D6232,10,72,3,0,1,0,Active,192.168.181.190,0
U100155,D2853,42,192,8,4,1,0,Active,192.168.83.12,1
U100156,D7585,46,135,4,2,2,0,Active,192.168.151.224,0
U100157,D2291,34,225,6,2,5,0,Active,192.168.224.252,0
U100158,D4581,36,285,9,2,5,0,Active,192.168.38.74,0
U100159,D8554,2,281,8,1,3,0,Active,192.168.149.176,0
U100160,D8280,18,144,4,4,2,0,Active,192.168.251.239,1
U100161,D2636,13,58,8,2,4,0,Active,192.168.232.206,0
U100162,D4696,5,5,7,3,7,0,Expired,192.168.3.29,1
U100163,D1698,20,132,5,2,5,0,Active,192.168.133.47,0
U100164,D5737,2,5,7,4,3,0,Active,192.168.54.232,1
U100165,D1854,11,177,7,2,2,0,Expired,192.168.233.103,1
U100166,D9164,30,270,2,2,2,0,Active,192.168.182.246,0
U100167,D6855,32,260,7,0,6,0,Active,192.168.245.177,0
U100168,D8392,32,178,3,2,4,1,Active,192.168.152.173,1
U100169,D7528,38,49,8,4,4,0,Active,192.168.135.249,1
U100170,D6249,28,145,8,0,0,0,Active,192.168.10.129,0
U100171,D6172,10,31,9,0,1,0,Active,192.168.197.102,0
U100172,D2707,22,237,4,2,2,0,Active,192.168.155.224,0
U100173,D6791,17,213,3,2,6,0,Active,192.168.136.98,0
U100174,D6535,22,54,9,3,0,1,Active,192.168.48.194,1
U100175,D5931,43,65,9,4,3,0,Expired,192.168.149.167,1
U100176,D4510,19,247,2,4,3,0,Active,192.168.150.61,1
U100177,D1202,17,273,6,1,1,0,Active,192.168.242.116,0
U100178,D5218,24,144,3,1,3,0,Active,192.168.66.171,0
U100179,D9958,36,161,5,4,1,0,Expired,192.168.172.80,1
U100180,D5389,32,89,2,2,3,0,Active,192.168.40.94,0
U100181,D3327,46,88,4,0,7,0,Active,192.168.146.44,0
U100182,D9004,36,280,3,3,3,0,Active,192.168.25.144,1
U100183,D3931,28,35,2,2,2,0,Active,192.168.149.134,0
U100184,D8777,14,12,6,0,4,0,Active,192.168.36.197,0
U100185,D1197,36,284,3,4,2,0,Active,192.168.234.206,1
U100186,D8125,6,207,4,2,0,0,Active,192.168.151.206,0
U100187,D2930,9,37,6,3,7,0,Active,192.168.200.168,1
U100188,D7287,21,147,5,1,4,0,Expired,192.168.119.203,1
U100189,D9800,12,41,4,0,2,0,Active,192.168.137.159,0
U100190,D5282,30,151,4,2,4,0,Active,192.168.178.182,0
U100191,D3511,31,232,2,3,4,0,Active,192.168.216.53,1
U100192,D1659,40,38,4,2,4,0,Active,192.168.147.125,0
U100193,D3811,4,241,8,4,3,0,Active,192.168.158.249,1
U100194,D8098,31,216,5,0,4,1,Active,192.168.143.101,1
U100195,D7546,27,144,8,4,7,1,Active,192.168.69.43,1
U100196,D2986,25,194,6,4,3,0,Active,192.168.122.11,1
U100197,D9338,5,100,5,1,5,0,Active,192.168.175.119,0
U100198,D3911,6,198,4,4,4,0,Active,192.168.167.147,1
U100199,D2734,5,156,9,3,3,0,Expired,192.168.64.186,1
U100200,D2843,27,227,5,0,4,0,Active,192.168.154.213,0
U100201,D9680,8,200,6,1,0,0,Active,192.168.168.142,0
U100202,D3976,9,92,7,2,2,0,Active,192.168.248.84,0
U100203,D2959,15,21,1,4,5,0,Expired,192.168.162.101,1
U100204,D6759,36,215,9,2,4,0,Active,192.168.222.2,0
U100205,D7694,41,236,8,1,0,0,Active,192.168.209.246,0
U100206,D3385,7,187,5,2,7,1,Active,192.168.212.89,1
U100207,D5736,32,166,3,3,7,0,Expired,192.168.12.36,1
U100208,D2802,8,74,5,1,2,0,Active,192.168.80.238,0
U100209,D9155,47,64,5,0,1,0,Expired,192.168.203.170,1
U100210,D9120,15,183,9,0,5,0,Active,192.168.213.152,0
U100211,D7616,37,81,7,0,5,0,Active,192.168.14.135,0
U100212,D6534,19,39,2,0,4,1,Active,192.168.130.148,1
U100213,D5061,39,20,5,1,1,0,Active,192.168.124.171,0
U100214,D1262,6,298,9,1,2,0,Active,192.168.25.45,0
U100215,D7287,19,175,2,1,2,0,Expired,192.168.27.117,1
U100216,D9815,28,36,8,4,4,0,Active,192.168.98.45,1
U100217,D3049,17,267,3,1,0,0,Active,192.168.187.40,0
U100218,D6423,42,219,4,1,4,0,Active,192.168.8.71,0
U100219,D5548,19,50,2,1,7,0,Active,192.168.39.142,0
U100220,D4108,31,193,9,0,0,0,Expired,192.168.209.10,1
U100221,D8158,11,278,6,3,6,0,Expired,192.168.226.253,1
U100222,D8400,15,75,9,0,4,0,Active,192.168.47.143,0
U100223,D4170,10,92,8,3,7,0,Expired,192.168.172.196,1
U100224,D3255,43,265,9,3,0,0,Active,192.168.239.186,1
U100225,D2154,23,186,5,3,7,0,Active,192.168.241.147,1
U100226,D5499,3,26,6,0,7,0,Active,192.168.119.176,0
U100227,D7295,3,78,7,4,3,0,Active,192.168.249.28,1
U100228,D7197,18,94,5,2,0,0,Active,192.168.171.215,0
U100229,D2648,25,170,1,4,0,0,Active,192.168.21.86,1
U100230,D6539,43,238,9,0,2,0,Active,192.168.225.168,0
U100231,D5199,20,133,2,3,1,0,Active,192.168.202.44,1
U100232,D9445,29,296,7,2,4,0,Active,192.168.101.240,0
U100233,D3557,22,99,8,4,2,0,Active,192.168.30.91,1
U100234,D6592,15,32,8,1,1,0,Expired,192.168.4.234,1
U100235,D1098,39,39,1,4,2,0,Active,192.168.156.197,1
U100236,D3200,10,235,7,0,5,0,Active,192.168.126.82,0
U100237,D3961,21,129,9,2,2,0,Active,192.168.92.194,0
U100238,D5973,29,83,3,1,4,0,Expired,192.168.13.215,1
U100239,D5433,32,65,8,2,5,0,Active,192.168.186.53,0
U100240,D3869,10,221,8,2,3,0,Active,192.168.156.231,0
U100241,D1956,13,286,9,4,2,0,Active,192.168.199.132,1
U100242,D9352,47,167,8,3,4,1,Active,192.168.228.160,1
U100243,D6699,23,61,5,4,0,0,Active,192.168.48.166,1
U100244,D7944,23,195,5,1,1,0,Active,192.168.92.157,0
U100245,D5493,31,136,3,0,6,0,Active,192.168.123.129,0
U100246,D5911,4,46,6,4,4,0,Active,192.168.130.42,1
U100247,D4987,49,177,3,3,3,0,Active,192.168.108.211,1
U100248,D7015,3,171,2,3,6,1,Active,192.168.205.160,1
U100249,D2218,21,254,7,4,4,0,Expired,192.168.22.235,1
U100250,D5496,2,197,3,1,4,0,Expired,192.168.153.82,1
U100251,D5735,4,282,4,3,7,0,Active,192.168.234.207,1
U100252,D5555,1,242,8,3,0,0,Active,192.168.88.228,1
U100253,D9050,15,234,1,1,1,0,Active,192.168.234.166,0
U100254,D4446,33,169,9,1,6,0,Active,192.168.21.210,0
U100255,D2045,6,247,6,1,5,1,Expired,192.168.11.250,1
U100256,D7893,7,94,2,1,1,0,Expired,192.168.62.219,1
U100257,D2693,19,183,3,4,3,0,Active,192.168.111.84,1
U100258,D4436,44,62,5,4,5,0,Active,192.168.143.242,1
U100259,D9754,1,267,6,2,5,0,Active,192.168.185.110,0
U100260,D6895,39,140,9,2,1,0,Active,192.168.112.143,0
U100261,D4354,19,242,2,2,0,0,Active,192.168.73.231,0
U100262,D1225,45,247,5,3,3,0,Active,192.168.132.235,1
U100263,D5893,26,155,7,1,0,0,Expired,192.168.116.99,1
U100264,D8022,44,251,7,4,0,1,Expired,192.168.80.51,1
U100265,D6600,12,223,4,4,5,0,Active,192.168.40.126,1
U100266,D8996,22,13,3,1,4,0,Active,192.168.221.132,0
U100267,D8683,13,298,8,2,4,0,Active,192.168.174.245,0
U100268,D5642,28,17,2,3,4,1,Active,192.168.149.31,1
U100269,D8679,14,267,5,4,5,0,Expired,192.168.156.169,1
U100270,D9208,22,229,5,0,6,0,Active,192.168.188.181,0
U100271,D8339,30,235,1,3,2,0,Active,192.168.15.55,1
U100272,D3205,44,182,7,3,0,0,Active,192.168.216.145,1
U100273,D2069,20,251,4,2,1,0,Expired,192.168.17.229,1
U100274,D4444,44,71,2,1,3,0,Active,192.168.164.60,0
U100275,D2060,27,161,8,0,2,0,Active,192.168.28.233,0
U100276,D3327,38,169,4,2,4,0,Active,192.168.218.95,0
U100277,D4420,42,188,1,1,5,0,Active,192.168.214.106,0
U100278,D1301,41,212,8,0,6,0,Active,192.168.88.251,0
U100279,D1606,34,20,7,4,2,0,Active,192.168.118.150,1
U100280,D4170,39,245,3,0,5,1,Active,192.168.53.205,1
U100281,D1699,41,234,3,2,2,0,Active,192.168.80.45,0
U100282,D6088,44,22,7,0,0,0,Active,192.168.102.180,0
U100283,D1190,37,151,2,0,0,0,Expired,192.168.123.186,1
U100284,D1980,1,248,5,0,5,0,Active,192.168.130.129,0
U100285,D3975,15,55,7,4,1,0,Active,192.168.182.234,1
U100286,D7102,32,263,6,1,3,0,Active,192.168.110.45,0
U100287,D2184,8,242,7,0,3,0,Expired,192.168.56.17,1
U100288,D4327,33,250,2,3,4,0,Active,192.168.28.18,1
U100289,D4394,18,53,7,2,1,0,Active,192.168.233.116,0
U100290,D9319,45,288,2,3,7,0,Active,192.168.136.90,1
U100291,D2816,29,42,7,1,3,1,Active,192.168.87.97,1
U100292,D6854,32,288,8,2,6,0,Expired,192.168.75.235,1
U100293,D7709,33,36,8,1,2,0,Expired,192.168.106.143,1
U100294,D1569,5,247,5,2,7,0,Active,192.168.115.206,0
U100295,D6442,18,45,7,3,2,0,Active,192.168.8.159,1
U100296,D2895,48,296,8,3,3,0,Expired,192.168.97.130,1
U100297,D3733,10,107,4,4,2,0,Active,192.168.181.48,1
U100298,D4863,36,296,2,1,5,0,Expired,192.168.101.109,1
U100299,D8455,33,111,7,3,2,0,Expired,192.168.101.122,1
U100300,D5014,23,250,1,2,5,0,Active,192.168.128.121,0
U100301,D2686,40,91,2,0,4,0,Active,192.168.62.252,0
U100302,D4009,5,70,7,0,2,0,Expired,192.168.236.34,1
U100303,D8806,34,142,1,0,5,0,Active,192.168.214.193,0
U100304,D1154,24,204,7,4,3,0,Active,192.168.224.11,1
U100305,D2409,17,97,5,3,0,0,Expired,192.168.111.9,1
U100306,D1784,31,282,3,1,2,0,Active,192.168.6.46,0
U100307,D9096,7,24,2,1,7,0,Active,192.168.164.122,0
U100308,D8560,17,293,7,4,3,0,Expired,192.168.114.88,1
U100309,D8343,28,94,9,2,2,0,Active,192.168.176.8,0
U100310,D8206,38,54,9,3,6,1,Active,192.168.60.164,1
U100311,D6596,22,14,8,3,1,1,Active,192.168.129.119,1
U100312,D6801,15,83,2,2,5,0,Active,192.168.243.45,0
U100313,D3806,37,41,1,2,4,0,Expired,192.168.115.134,1
U100314,D1537,15,63,8,3,6,1,Active,192.168.241.165,1
U100315,D6986,25,92,2,3,0,0,Active,192.168.184.204,1
U100316,D2841,21,108,4,0,5,0,Expired,192.168.18.52,1
U100317,D9716,38,281,4,1,2,0,Active,192.168.220.211,0
U100318,D7971,2,108,2,0,3,0,Active,192.168.30.47,0
U100319,D6625,27,258,4,0,0,0,Expired,192.168.166.253,1
U100320,D3950,49,234,7,1,2,0,Active,192.168.220.51,0
U100321,D8992,32,41,6,4,7,1,Active,192.168.54.149,1
U100322,D5780,21,146,6,4,1,0,Active,192.168.226.161,1
U100323,D3368,4,47,4,4,3,0,Active,192.168.20.121,1
U100324,D7655,44,120,2,4,4,0,Active,192.168.9.132,1
U100325,D9173,19,88,5,2,2,0,Active,192.168.47.57,0
U100326,D5495,2,263,3,0,3,0,Active,192.168.139.123,0
U100327,D7002,26,91,3,2,6,0,Active,192.168.137.67,0
U100328,D7614,34,295,4,2,7,0,Active,192.168.135.69,0
U100329,D6919,14,100,5,1,2,0,Active,192.168.245.240,0
U100330,D1853,15,259,2,4,4,0,Active,192.168.99.240,1
U100331,D5146,20,140,6,3,1,0,Expired,192.168.149.35,1
U100332,D4769,34,252,6,4,5,0,Active,192.168.214.132,1
U100333,D1574,36,96,8,0,7,0,Active,192.168.143.165,0
U100334,D2148,19,251,2,2,4,0,Active,192.168.21.213,0
U100335,D7293,9,262,8,0,6,0,Active,192.168.61.124,0
U100336,D7457,7,191,8,2,4,0,Active,192.168.49.252,0
U100337,D8509,30,128,4,2,4,0,Active,192.168.187.27,0
U100338,D5777,13,264,7,2,7,0,Active,192.168.179.40,0
U100339,D4854,27,173,7,3,5,0,Active,192.168.199.199,1
U100340,D3491,44,115,1,4,0,0,Active,192.168.105.226,1
U100341,D4124,35,294,1,2,3,0,Active,192.168.29.52,0
U100342,D6691,13,91,8,1,2,1,Active,192.168.216.38,1
U100343,D4051,15,17,1,2,5,0,Active,192.168.14.238,0
U100344,D1004,46,267,3,4,1,0,Active,192.168.155.59,1
U100345,D6222,9,292,6,4,2,1,Expired,192.168.39.73,1
U100346,D6315,45,27,8,3,0,1,Active,192.168.132.229,1
U100347,D5869,23,204,5,2,1,0,Active,192.168.232.214,0
U100348,D1876,36,246,5,1,0,0,Active,192.168.166.104,0
U100349,D8027,40,243,4,3,7,0,Active,192.168.123.56,1
U100350,D5142,3,169,4,3,2,1,Active,192.168.78.125,1
U100351,D7966,34,230,7,2,1,1,Active,192.168.34.245,1
U100352,D8079,19,180,6,2,6,0,Active,192.168.218.17,0
U100353,D8987,28,33,8,3,5,1,Active,192.168.146.18,1
U100354,D7799,23,169,6,3,2,0,Active,192.168.73.130,1
U100355,D5465,40,27,7,3,3,0,Expired,192.168.65.177,1
U100356,D1635,49,298,5,0,7,0,Active,192.168.238.219,0
U100357,D2693,45,48,6,3,0,0,Expired,192.168.79.32,1
U100358,D5752,7,265,1,4,3,0,Active,192.168.165.244,1
U100359,D9311,41,184,3,1,6,1,Expired,192.168.25.96,1
U100360,D1830,12,143,8,1,6,0,Active,192.168.97.239,0
U100361,D6177,14,252,3,2,3,0,Active,192.168.52.178,0
U100362,D9932,46,245,1,3,2,0,Active,192.168.199.228,1
U100363,D9308,15,110,3,1,6,0,Active,192.168.251.222,0
U100364,D6949,3,177,4,1,2,0,Expired,192.168.126.69,1
U100365,D3838,15,53,8,4,4,0,Active,192.168.159.72,1
U100366,D2150,24,127,9,4,4,0,Active,192.168.149.113,1
U100367,D8560,46,39,4,0,1,0,Active,192.168.101.47,0
U100368,D2931,8,110,7,0,2,0,Active,192.168.0.75,0
U100369,D2664,5,200,1,1,0,0,Active,192.168.37.183,0
U100370,D2081,4,113,9,2,7,0,Active,192.168.133.84,0
U100371,D1512,14,129,4,1,2,0,Active,192.168.147.62,0
U100372,D8805,16,299,9,2,2,0,Active,192.168.17.82,0
U100373,D6237,20,41,3,1,5,0,Active,192.168.70.160,0
U100374,D1559,24,192,5,4,3,0,Active,192.168.217.24,1
U100375,D4672,6,27,1,3,3,0,Active,192.168.239.118,1
U100376,D8404,31,265,3,1,6,0,Expired,192.168.181.247,1
U100377,D4343,6,198,5,0,4,1,Active,192.168.178.140,1
U100378,D5070,35,156,6,2,5,0,Expired,192.168.89.94,1
U100379,D1580,15,22,8,2,1,0,Active,192.168.209.68,0
U100380,D8004,29,31,1,1,1,0,Active,192.168.33.215,0
U100381,D9130,3,28,3,2,2,0,Active,192.168.220.189,0
U100382,D4147,11,33,1,0,5,0,Expired,192.168.62.73,1
U100383,D5249,3,143,5,4,0,0,Active,192.168.38.204,1
U100384,D2679,28,150,8,3,3,0,Active,192.168.36.140,1
U100385,D4506,10,127,4,3,0,0,Active,192.168.15.147,1
U100386,D8253,33,132,9,2,5,0,Active,192.168.75.129,0
U100387,D3744,48,121,6,1,3,0,Active,192.168.192.19,0
U100388,D6188,16,136,6,2,5,0,Active,192.168.51.126,0
U100389,D3141,10,293,5,0,5,0,Active,192.168.171.229,0
U100390,D7617,33,210,5,1,2,0,Active,192.168.124.233,0
U100391,D3479,36,240,7,4,7,0,Expired,192.168.43.130,1
U100392,D7484,3,46,8,0,1,0,Active,192.168.204.4,0
U100393,D8421,5,164,7,4,5,0,Active,192.168.146.232,1
U100394,D5452,12,256,1,1,2,0,Active,192.168.172.161,0
U100395,D6881,44,183,1,4,3,0,Active,192.168.16.185,1
U100396,D7665,13,129,6,0,5,0,Active,192.168.144.4,0
U100397,D3849,24,264,3,0,1,0,Expired,192.168.7.222,1
U100398,D8390,44,280,9,2,0,0,Active,192.168.115.165,0
U100399,D7905,32,217,7,1,0,0,Active,192.168.111.96,0
U100400,D3489,16,194,2,3,4,0,Active,192.168.129.89,1
U100401,D5611,32,62,3,3,6,0,Active,192.168.153.41,1
U100402,D3839,45,207,8,4,0,0,Active,192.168.140.211,1
U100403,D9527,37,84,1,3,4,0,Expired,192.168.151.201,1
U100404,D6878,36,232,5,3,1,0,Active,192.168.98.190,1
U100405,D7303,21,99,1,0,2,0,Active,192.168.95.65,0
U100406,D1851,47,8,9,0,7,0,Active,192.168.158.146,0
U100407,D2687,12,169,7,0,5,0,Active,192.168.253.143,0
U100408,D7833,21,46,5,3,5,0,Active,192.168.23.65,1
U100409,D3427,21,289,6,4,6,0,Active,192.168.142.215,1
U100410,D5000,43,233,3,1,2,1,Active,192.168.113.51,1
U100411,D6052,6,247,3,2,5,0,Active,192.168.19.94,0
U100412,D3738,9,216,7,4,1,0,Active,192.168.254.243,1
U100413,D6732,1,59,7,0,5,0,Expired,192.168.51.205,1
U100414,D6387,12,177,7,4,6,0,Active,192.168.132.253,1
U100415,D9002,14,281,2,1,5,0,Active,192.168.53.165,0
